zakaznik,datum_od,datum_do,zakazka
281,16/03/2013,6/28/2020,511
326,11/08/2017,7/6/2019,650
395,25/08/2010,3/5/2020,508
295,29/02/2020,8/24/2019,596
177,05/11/2013,9/13/2019,197
140,30/09/2017,11/27/2019,264
328,29/07/2012,6/24/2020,49
320,23/08/2013,10/5/2019,494
161,04/08/2013,4/14/2020,151
280,13/06/2019,1/31/2020,333
165,28/02/2018,7/13/2019,231
45,05/07/2014,10/10/2019,393
275,22/10/2011,10/6/2019,722
330,28/02/2015,8/6/2019,162
37,27/11/2010,11/23/2019,288
167,02/07/2014,3/16/2020,161
12,08/12/2011,7/18/2019,48
308,20/09/2010,12/5/2019,400
137,03/09/2018,6/7/2020,410
265,16/05/2019,1/20/2020,34
215,02/04/2014,9/24/2019,490
193,23/09/2019,11/3/2019,509
304,08/12/2018,11/6/2019,205
297,21/12/2012,10/17/2019,660
239,24/11/2010,7/24/2019,768
375,06/03/2013,10/1/2019,449
25,24/09/2016,9/7/2019,53
307,13/08/2017,6/6/2020,176
376,22/08/2017,10/21/2019,143
32,10/09/2015,6/8/2020,173
9,24/04/2013,6/9/2020,393
364,04/09/2014,12/29/2019,336
264,03/01/2012,4/18/2020,258
389,28/10/2012,5/18/2020,32
225,23/08/2018,9/28/2019,60
303,01/07/2016,12/11/2019,769
307,03/04/2014,5/29/2020,739
56,08/09/2014,3/8/2020,158
154,14/12/2016,9/27/2019,371
259,08/08/2016,12/29/2019,603
51,28/05/2013,4/2/2020,456
21,02/05/2016,5/24/2020,223
58,19/04/2019,4/16/2020,630
49,03/05/2019,12/11/2019,590
268,06/05/2011,9/24/2019,616
175,10/09/2018,4/22/2020,621
389,30/09/2015,8/4/2019,646
80,08/03/2013,11/27/2019,121
306,15/03/2011,4/13/2020,432
307,25/09/2012,8/8/2019,700
24,29/11/2011,8/29/2019,637
220,25/05/2015,12/26/2019,93
344,23/06/2011,3/23/2020,72
122,27/01/2020,10/23/2019,127
180,29/12/2019,10/22/2019,205
255,30/12/2012,7/26/2019,95
236,24/11/2013,10/6/2019,112
397,18/09/2013,5/18/2020,128
334,16/08/2017,6/21/2020,378
250,08/04/2019,5/19/2020,20
174,19/09/2014,7/23/2019,484
207,30/11/2010,3/30/2020,558
197,14/07/2013,2/29/2020,426
249,16/02/2013,9/5/2019,162
284,22/12/2012,3/9/2020,307
372,18/03/2014,1/23/2020,594
131,17/12/2018,7/30/2019,276
281,17/03/2012,6/4/2020,187
381,22/03/2013,8/27/2019,405
94,07/10/2019,11/28/2019,438
220,24/08/2016,3/28/2020,686
134,24/02/2013,12/13/2019,369
7,15/01/2016,10/7/2019,178
58,28/05/2016,5/11/2020,352
198,07/07/2018,4/9/2020,189
33,04/07/2017,12/14/2019,282
314,06/08/2016,7/30/2019,226
295,17/01/2017,10/30/2019,142
370,14/06/2012,8/9/2019,388
99,12/05/2016,1/1/2020,459
132,20/11/2017,10/13/2019,736
107,18/12/2010,4/2/2020,592
322,08/04/2018,8/11/2019,729
124,08/12/2010,11/18/2019,471
236,03/08/2015,1/21/2020,276
197,19/06/2015,11/29/2019,451
231,04/03/2012,3/2/2020,775
35,27/10/2014,5/25/2020,485
163,10/12/2011,5/20/2020,685
103,08/12/2011,8/24/2019,587
286,08/12/2013,10/9/2019,105
303,27/06/2011,12/4/2019,631
104,22/05/2014,10/30/2019,363
233,08/02/2016,6/4/2020,532
358,04/07/2013,10/9/2019,80
63,05/02/2016,6/6/2020,322
154,09/02/2016,2/1/2020,138
3,25/04/2014,9/27/2019,128
371,20/02/2012,2/19/2020,470
328,02/04/2017,11/16/2019,99
298,17/09/2015,11/11/2019,742
5,19/11/2015,7/4/2020,756
302,02/10/2010,11/19/2019,345
206,12/02/2018,8/3/2019,791
294,24/03/2012,9/25/2019,20
69,03/03/2019,1/10/2020,403
63,07/08/2014,3/14/2020,16
223,16/07/2017,8/22/2019,118
379,20/06/2019,9/21/2019,371
140,10/06/2012,8/3/2019,268
257,15/08/2015,10/14/2019,64
85,06/04/2014,5/23/2020,503
172,16/10/2012,10/3/2019,352
211,14/03/2020,7/5/2019,526
397,19/11/2011,5/22/2020,261
156,03/10/2010,4/28/2020,243
373,01/12/2010,3/9/2020,728
94,20/09/2019,7/20/2019,761
188,09/09/2018,3/11/2020,418
269,26/01/2019,11/23/2019,220
113,05/10/2012,6/3/2020,323
35,18/11/2011,2/27/2020,724
224,14/12/2012,7/15/2019,7
129,29/01/2018,12/22/2019,458
54,02/01/2015,11/14/2019,530
147,08/09/2014,8/1/2019,287
82,17/05/2015,8/7/2019,463
222,01/06/2019,9/14/2019,714
147,16/06/2016,8/7/2019,375
352,08/10/2012,11/3/2019,327
288,21/08/2018,3/3/2020,495
88,12/08/2019,12/14/2019,781
394,13/01/2020,10/25/2019,177
19,10/09/2011,6/20/2020,792
112,12/11/2011,7/14/2019,774
151,10/08/2019,6/18/2020,504
274,15/04/2011,6/10/2020,705
237,23/04/2014,7/28/2019,691
19,09/11/2011,7/2/2020,511
383,03/06/2012,6/30/2020,424
5,12/04/2013,3/17/2020,17
128,03/10/2010,10/9/2019,168
193,14/08/2017,6/25/2020,403
334,11/03/2019,1/3/2020,56
359,06/05/2014,7/1/2020,394
388,20/01/2017,10/4/2019,29
362,28/01/2011,5/26/2020,177
154,27/07/2011,12/4/2019,116
364,16/06/2012,11/15/2019,296
265,07/04/2012,11/15/2019,331
274,03/08/2016,4/15/2020,345
330,11/02/2014,9/10/2019,212
44,08/04/2017,9/23/2019,41
92,18/02/2014,12/10/2019,7
73,09/08/2013,6/26/2020,216
381,08/07/2018,1/10/2020,356
44,15/01/2016,4/12/2020,9
9,16/04/2020,9/21/2019,793
312,11/09/2016,12/25/2019,27
25,29/03/2015,10/30/2019,620
175,12/08/2014,12/6/2019,276
16,14/10/2016,7/17/2019,750
58,29/01/2020,5/11/2020,189
227,19/10/2017,11/10/2019,571
332,01/08/2019,8/21/2019,662
58,15/03/2019,2/5/2020,353
303,11/05/2020,7/26/2019,93
257,01/11/2010,9/27/2019,407
346,21/08/2016,8/16/2019,229
131,14/09/2017,7/5/2019,122
258,21/07/2016,8/12/2019,784
131,04/02/2017,9/13/2019,755
151,24/07/2018,4/24/2020,297
271,15/06/2013,2/2/2020,246
91,16/09/2010,6/23/2020,279
112,25/01/2012,10/15/2019,102
323,16/12/2016,5/10/2020,404
17,29/08/2015,4/4/2020,429
358,08/08/2015,2/15/2020,746
395,04/05/2014,3/23/2020,331
318,29/06/2019,8/18/2019,568
89,29/04/2015,11/5/2019,131
50,17/03/2017,2/28/2020,259
53,26/09/2019,1/28/2020,374
340,22/01/2015,5/10/2020,117
56,26/07/2016,4/8/2020,218
322,04/03/2015,9/16/2019,449
241,25/07/2017,11/1/2019,155
329,04/05/2015,1/15/2020,6
248,28/03/2011,2/28/2020,774
281,18/08/2014,11/14/2019,76
37,16/11/2016,5/25/2020,376
314,19/10/2018,11/9/2019,764
56,19/12/2014,6/4/2020,195
245,27/12/2014,3/8/2020,33
142,09/10/2010,9/12/2019,492
294,24/02/2017,1/9/2020,722
209,28/06/2012,7/19/2019,298
317,07/08/2016,10/1/2019,558
245,05/10/2017,10/1/2019,625
92,12/05/2017,11/13/2019,208
213,29/02/2012,11/6/2019,573
284,15/07/2016,1/28/2020,796
212,15/09/2011,9/17/2019,609
301,01/12/2010,6/2/2020,150
49,29/03/2013,3/24/2020,688
259,13/03/2011,10/8/2019,476
334,10/05/2020,11/28/2019,411
195,20/02/2017,11/24/2019,623
71,28/05/2020,1/14/2020,694
363,17/11/2019,9/27/2019,204
275,07/05/2011,11/14/2019,283
354,19/07/2010,11/13/2019,93
155,11/03/2020,10/31/2019,271
229,08/01/2019,10/21/2019,760
367,26/02/2016,11/30/2019,418
34,15/12/2011,4/23/2020,293
62,19/02/2016,8/12/2019,421
36,23/07/2018,12/2/2019,654
186,22/11/2017,1/7/2020,664
73,27/01/2011,9/19/2019,72
280,28/02/2020,2/24/2020,158
325,16/06/2011,4/24/2020,784
245,05/03/2011,2/6/2020,641
229,05/11/2018,7/12/2019,689
40,23/06/2020,4/23/2020,768
45,16/06/2018,11/3/2019,737
175,01/11/2017,7/16/2019,798
236,04/06/2015,5/18/2020,299
193,11/01/2017,11/20/2019,114
336,24/02/2017,6/21/2020,241
26,07/11/2015,2/26/2020,415
19,30/09/2015,6/29/2020,788
278,02/01/2012,12/4/2019,621
346,10/05/2018,10/21/2019,304
176,18/05/2011,11/8/2019,30
368,07/09/2014,8/23/2019,735
95,14/03/2018,8/6/2019,76
66,06/12/2016,2/20/2020,407
324,24/07/2014,11/30/2019,773
289,19/04/2020,1/16/2020,718
248,12/01/2017,10/4/2019,186
251,28/10/2014,11/10/2019,422
100,11/04/2014,2/20/2020,738
136,17/10/2011,11/22/2019,172
7,11/02/2012,1/5/2020,242
250,17/10/2011,4/26/2020,772
122,09/02/2019,9/21/2019,384
344,31/05/2016,12/28/2019,386
27,04/08/2013,5/7/2020,449
64,17/01/2020,11/5/2019,230
61,30/10/2016,4/23/2020,618
1,14/02/2016,8/3/2019,671
400,10/02/2011,3/27/2020,498
153,11/11/2014,12/18/2019,44
196,30/09/2012,2/6/2020,224
17,15/11/2018,1/24/2020,319
334,22/12/2016,10/29/2019,489
369,12/12/2018,10/15/2019,290
239,05/05/2018,10/5/2019,361
192,30/12/2017,8/21/2019,501
184,05/01/2012,8/3/2019,519
230,14/05/2014,3/5/2020,387
108,30/07/2011,5/26/2020,154
295,17/02/2014,8/23/2019,558
345,16/10/2014,5/16/2020,700
38,29/11/2014,1/24/2020,583
126,15/10/2010,7/14/2019,784
239,14/06/2020,12/24/2019,753
262,13/09/2012,8/9/2019,38
304,17/10/2013,4/22/2020,572
13,26/09/2012,6/5/2020,157
72,06/03/2013,11/4/2019,511
145,28/11/2011,2/4/2020,156
16,17/11/2013,5/11/2020,464
229,27/10/2010,9/25/2019,799
32,08/02/2016,2/9/2020,294
359,27/01/2013,9/20/2019,521
75,08/03/2013,5/7/2020,267
154,04/07/2017,12/12/2019,709
243,08/07/2012,7/15/2019,236
392,16/02/2015,6/5/2020,373
372,08/08/2019,11/30/2019,232
383,01/04/2017,3/19/2020,3
237,04/06/2017,8/5/2019,747
386,14/01/2016,7/21/2019,58
70,02/10/2012,4/24/2020,199
180,22/06/2017,3/24/2020,210
336,12/11/2011,10/26/2019,586
180,10/12/2012,11/17/2019,583
231,16/08/2018,8/10/2019,534
145,03/05/2014,11/28/2019,482
117,19/12/2013,10/1/2019,687
107,16/10/2015,1/16/2020,39
109,20/07/2016,9/3/2019,79
236,23/06/2015,7/30/2019,662
118,16/05/2016,3/10/2020,318
71,24/06/2018,2/3/2020,40
6,03/02/2020,9/27/2019,508
46,30/05/2016,9/11/2019,31
334,30/09/2010,12/27/2019,119
256,28/01/2015,5/24/2020,548
173,24/11/2010,7/30/2019,643
130,04/11/2019,1/2/2020,289
9,24/12/2018,5/25/2020,611
330,28/05/2017,6/28/2020,32
153,09/08/2017,2/5/2020,395
382,15/12/2012,3/21/2020,675
97,07/12/2019,10/24/2019,652
320,25/06/2020,12/18/2019,704
255,29/05/2017,3/15/2020,638
136,11/09/2012,3/9/2020,39
225,27/07/2011,5/19/2020,668
398,04/06/2013,7/8/2019,536
359,04/09/2019,3/13/2020,414
203,02/10/2015,7/9/2019,470
378,05/10/2017,8/8/2019,169
34,17/06/2018,5/29/2020,763
212,14/09/2016,5/2/2020,194
