zakaznik,datum_prijeti,datum_vyrizeni,zakazka
241,11/8/2019,4/8/2020,632
299,11/30/2019,9/6/2019,755
130,10/10/2019,12/6/2019,724
171,8/23/2019,9/13/2019,662
31,1/10/2020,5/24/2020,289
155,11/14/2019,11/27/2019,741
236,3/10/2020,8/4/2019,419
60,10/9/2019,7/1/2020,161
173,8/15/2019,8/28/2019,110
288,12/17/2019,3/11/2020,515
363,5/2/2020,7/16/2019,513
256,1/16/2020,6/8/2020,3
234,5/4/2020,6/29/2020,301
149,12/19/2019,4/20/2020,210
17,12/20/2019,6/21/2020,550
314,2/25/2020,5/17/2020,387
181,11/29/2019,6/3/2020,502
9,2/14/2020,5/14/2020,599
364,10/8/2019,2/9/2020,729
324,1/24/2020,9/16/2019,677
259,4/4/2020,7/16/2019,797
180,12/22/2019,12/28/2019,456
289,1/3/2020,4/10/2020,21
389,10/8/2019,12/12/2019,563
295,2/2/2020,4/27/2020,216
225,12/13/2019,6/28/2020,226
296,1/16/2020,12/22/2019,40
129,3/27/2020,9/4/2019,435
101,10/22/2019,2/26/2020,71
218,6/20/2020,7/19/2019,664
54,5/24/2020,5/6/2020,134
350,2/17/2020,6/7/2020,15
268,10/17/2019,2/16/2020,307
231,6/25/2020,9/1/2019,299
104,11/22/2019,2/10/2020,607
258,1/20/2020,12/15/2019,608
168,6/12/2020,8/6/2019,250
99,3/4/2020,7/26/2019,147
238,12/18/2019,6/17/2020,394
64,7/4/2019,8/29/2019,312
64,3/14/2020,3/3/2020,162
148,1/5/2020,8/20/2019,426
39,12/10/2019,9/6/2019,787
33,4/9/2020,7/11/2019,492
84,11/12/2019,11/8/2019,731
310,9/27/2019,9/6/2019,437
345,1/12/2020,9/12/2019,441
398,10/23/2019,2/24/2020,571
254,11/19/2019,2/21/2020,159
384,1/15/2020,10/23/2019,58
188,10/17/2019,2/10/2020,648
197,10/8/2019,4/14/2020,2
303,7/3/2019,8/10/2019,584
209,11/23/2019,6/29/2020,515
4,1/26/2020,2/12/2020,252
268,10/20/2019,9/26/2019,543
100,2/26/2020,3/7/2020,327
76,10/13/2019,3/7/2020,473
383,10/18/2019,10/8/2019,469
191,2/23/2020,3/30/2020,168
168,1/4/2020,12/21/2019,471
134,5/29/2020,9/17/2019,526
252,5/4/2020,6/16/2020,490
138,11/4/2019,12/4/2019,783
384,1/13/2020,5/21/2020,480
397,12/16/2019,2/8/2020,114
123,6/12/2020,7/27/2019,208
98,2/2/2020,6/10/2020,488
227,2/13/2020,9/14/2019,24
19,3/13/2020,9/10/2019,508
337,11/7/2019,2/5/2020,285
182,2/13/2020,3/2/2020,573
75,11/10/2019,4/10/2020,269
211,12/13/2019,9/25/2019,668
374,8/29/2019,9/10/2019,369
138,1/28/2020,5/16/2020,283
346,12/26/2019,7/11/2019,46
219,2/27/2020,8/2/2019,408
160,5/24/2020,9/20/2019,68
282,12/15/2019,9/8/2019,683
191,10/25/2019,9/25/2019,164
342,5/1/2020,7/26/2019,578
158,10/31/2019,2/19/2020,133
168,1/7/2020,4/26/2020,524
155,10/29/2019,9/22/2019,77
362,3/13/2020,5/8/2020,676
360,10/8/2019,3/11/2020,38
5,11/22/2019,6/18/2020,279
262,5/14/2020,7/15/2019,610
111,11/2/2019,12/14/2019,471
21,1/18/2020,4/4/2020,634
213,1/15/2020,9/6/2019,494
227,2/22/2020,3/9/2020,145
111,2/17/2020,5/7/2020,134
137,2/10/2020,3/23/2020,180
323,7/10/2019,8/7/2019,2
250,11/2/2019,5/19/2020,142
160,12/20/2019,4/26/2020,40
60,3/1/2020,9/29/2019,456
96,10/18/2019,10/5/2019,601
257,2/20/2020,4/22/2020,269
137,11/26/2019,3/12/2020,75
59,11/9/2019,8/22/2019,719
307,5/6/2020,8/5/2019,787
317,11/5/2019,4/1/2020,436
296,2/5/2020,3/29/2020,407
137,11/1/2019,7/10/2019,133
281,3/29/2020,4/24/2020,615
139,10/18/2019,2/25/2020,567
101,11/24/2019,7/14/2019,107
194,3/24/2020,7/18/2019,241
338,11/18/2019,8/26/2019,360
12,4/7/2020,9/9/2019,577
364,12/20/2019,7/17/2019,409
146,1/26/2020,4/5/2020,149
357,10/22/2019,8/26/2019,392
77,2/20/2020,7/4/2019,681
22,11/17/2019,3/25/2020,345
276,11/27/2019,5/16/2020,292
101,3/27/2020,6/8/2020,68
3,3/6/2020,5/23/2020,301
154,7/8/2019,9/23/2019,487
106,1/1/2020,1/24/2020,263
287,2/22/2020,5/24/2020,304
306,1/10/2020,11/7/2019,307
41,11/4/2019,6/6/2020,96
188,12/16/2019,5/11/2020,311
230,5/12/2020,5/30/2020,68
371,3/31/2020,8/27/2019,462
391,6/10/2020,8/15/2019,333
217,5/9/2020,9/17/2019,77
324,1/6/2020,11/10/2019,187
338,3/30/2020,7/28/2019,577
255,4/7/2020,5/11/2020,414
386,11/2/2019,2/3/2020,734
11,4/17/2020,9/21/2019,254
175,6/10/2020,9/27/2019,691
90,3/7/2020,4/12/2020,776
396,8/31/2019,9/11/2019,771
131,1/18/2020,2/26/2020,325
180,12/10/2019,8/1/2019,719
36,10/16/2019,5/19/2020,40
293,11/19/2019,11/20/2019,784
389,10/27/2019,3/2/2020,359
283,12/4/2019,8/24/2019,774
98,4/29/2020,4/4/2020,581
212,2/26/2020,9/3/2019,130
74,1/18/2020,12/25/2019,603
162,12/22/2019,7/26/2019,259
207,5/4/2020,8/18/2019,359
198,11/16/2019,4/1/2020,605
236,1/1/2020,8/8/2019,17
281,2/4/2020,8/2/2019,329
352,1/2/2020,6/8/2020,38
191,8/3/2019,9/16/2019,310
128,10/3/2019,10/3/2019,319
128,3/31/2020,5/21/2020,725
236,12/6/2019,5/23/2020,119
261,10/8/2019,7/27/2019,712
217,5/9/2020,7/1/2020,514
285,2/21/2020,4/17/2020,299
12,6/6/2020,7/8/2019,485
76,1/24/2020,6/21/2020,425
357,3/22/2020,5/12/2020,750
354,4/16/2020,7/26/2019,139
273,1/16/2020,11/19/2019,660
279,4/11/2020,9/22/2019,488
175,1/16/2020,7/14/2019,300
58,4/16/2020,5/11/2020,589
314,12/14/2019,5/8/2020,263
240,1/12/2020,8/21/2019,389
36,5/11/2020,5/26/2020,664
266,12/17/2019,7/26/2019,70
131,1/17/2020,12/17/2019,9
238,10/12/2019,11/5/2019,275
327,12/21/2019,9/3/2019,378
138,1/26/2020,6/29/2020,407
74,11/13/2019,7/26/2019,254
205,10/25/2019,3/10/2020,211
145,3/17/2020,6/16/2020,730
250,10/24/2019,7/23/2019,344
50,1/6/2020,2/26/2020,472
110,3/17/2020,9/15/2019,279
257,12/26/2019,5/24/2020,489
131,12/13/2019,12/22/2019,709
291,3/22/2020,3/4/2020,66
362,10/13/2019,5/3/2020,101
368,11/14/2019,11/23/2019,391
345,3/8/2020,7/17/2019,324
182,2/13/2020,5/8/2020,40
164,5/4/2020,9/17/2019,121
312,1/28/2020,2/29/2020,627
400,5/9/2020,6/17/2020,88
311,5/19/2020,5/30/2020,479
26,2/29/2020,6/8/2020,151
204,4/14/2020,5/4/2020,510
362,2/27/2020,4/25/2020,409
328,11/26/2019,2/4/2020,433
105,10/2/2019,8/19/2019,467
71,10/15/2019,3/2/2020,31
306,11/1/2019,11/24/2019,684
317,10/18/2019,4/29/2020,467
121,3/31/2020,8/28/2019,42
8,7/8/2019,9/13/2019,139
58,11/23/2019,2/4/2020,50
301,12/22/2019,7/30/2019,223
219,12/21/2019,7/30/2019,659
46,2/18/2020,3/5/2020,537
289,12/19/2019,12/9/2019,174
123,12/10/2019,8/30/2019,246
191,2/12/2020,6/21/2020,126
166,3/4/2020,6/26/2020,1
296,1/18/2020,5/14/2020,19
11,1/14/2020,2/16/2020,736
220,3/26/2020,4/13/2020,517
236,12/2/2019,2/13/2020,353
247,4/10/2020,7/22/2019,423
352,5/3/2020,8/16/2019,234
1,1/10/2020,8/22/2019,85
108,12/18/2019,8/17/2019,37
244,1/10/2020,7/27/2019,26
338,5/2/2020,7/28/2019,791
84,12/28/2019,4/18/2020,655
10,11/24/2019,9/8/2019,17
361,12/17/2019,3/29/2020,240
112,4/21/2020,7/5/2019,392
146,1/30/2020,7/2/2020,740
104,2/19/2020,7/23/2019,193
158,8/12/2019,8/27/2019,61
338,1/8/2020,6/23/2020,157
77,10/10/2019,9/26/2019,8
267,2/5/2020,7/2/2020,44
235,1/10/2020,6/6/2020,111
365,1/28/2020,11/22/2019,179
49,1/8/2020,6/10/2020,237
58,4/11/2020,4/21/2020,491
386,12/22/2019,6/1/2020,397
7,6/19/2020,6/9/2020,138
218,10/19/2019,3/23/2020,12
352,4/20/2020,7/29/2019,495
45,1/5/2020,3/11/2020,382
174,5/27/2020,8/10/2019,438
376,1/7/2020,10/1/2019,752
352,5/8/2020,7/13/2019,451
371,3/15/2020,6/26/2020,531
138,2/28/2020,8/22/2019,530
25,1/13/2020,9/8/2019,756
379,5/24/2020,6/14/2020,309
50,12/24/2019,4/2/2020,340
177,1/25/2020,4/27/2020,37
148,2/17/2020,3/3/2020,67
307,10/28/2019,5/13/2020,282
119,10/21/2019,7/1/2020,56
2,3/15/2020,5/29/2020,199
22,4/7/2020,6/6/2020,172
118,1/9/2020,11/19/2019,243
157,2/21/2020,3/5/2020,296
111,1/7/2020,9/7/2019,186
79,10/7/2019,10/9/2019,594
257,11/18/2019,5/16/2020,731
364,6/30/2020,7/2/2020,384
243,10/8/2019,6/17/2020,567
13,7/22/2019,7/3/2019,470
33,11/11/2019,12/1/2019,328
287,1/18/2020,3/21/2020,388
314,11/1/2019,7/28/2019,375
307,10/18/2019,7/14/2019,6
130,1/31/2020,3/20/2020,703
190,10/7/2019,2/23/2020,428
110,1/17/2020,1/5/2020,93
392,11/29/2019,6/12/2020,364
283,4/13/2020,4/21/2020,307
16,1/2/2020,4/16/2020,616
369,4/23/2020,5/27/2020,79
226,4/12/2020,6/6/2020,356
149,3/24/2020,4/16/2020,72
63,2/27/2020,7/27/2019,729
162,12/11/2019,3/31/2020,496
171,9/20/2019,9/4/2019,777
184,11/26/2019,7/11/2019,217
264,11/22/2019,2/23/2020,176
114,10/29/2019,11/28/2019,396
156,12/19/2019,9/14/2019,257
84,1/24/2020,7/11/2019,73
392,10/13/2019,4/9/2020,391
54,11/24/2019,9/9/2019,49
21,10/16/2019,11/6/2019,101
344,4/18/2020,6/19/2020,280
137,7/8/2019,8/7/2019,38
139,1/20/2020,4/16/2020,152
84,2/7/2020,9/27/2019,662
83,11/25/2019,4/18/2020,635
141,8/15/2019,8/7/2019,507
313,10/17/2019,12/6/2019,376
131,12/16/2019,7/20/2019,683
281,3/16/2020,4/20/2020,765
32,1/3/2020,11/9/2019,238
213,11/2/2019,7/27/2019,57
346,12/22/2019,4/11/2020,518
190,7/29/2019,9/8/2019,130
126,10/8/2019,11/3/2019,299
176,2/6/2020,5/4/2020,664
207,12/30/2019,3/17/2020,460
227,1/17/2020,4/3/2020,402
27,1/3/2020,5/7/2020,608
229,12/19/2019,2/10/2020,476
226,1/21/2020,6/4/2020,494
358,4/9/2020,6/26/2020,3
226,4/7/2020,6/24/2020,798
112,3/11/2020,3/21/2020,87
291,10/15/2019,8/5/2019,239
54,2/9/2020,6/14/2020,47
57,11/2/2019,2/14/2020,662
220,4/4/2020,8/9/2019,566
152,6/5/2020,9/23/2019,603
115,12/31/2019,5/12/2020,85
276,8/19/2019,9/5/2019,116
324,10/19/2019,12/18/2019,394
156,10/4/2019,4/28/2020,233
386,2/16/2020,4/11/2020,604
364,10/6/2019,2/13/2020,428
301,5/4/2020,9/15/2019,28
296,8/13/2019,9/5/2019,771
47,12/14/2019,5/18/2020,733
366,11/23/2019,11/3/2019,434
130,1/24/2020,3/13/2020,201
60,11/16/2019,3/9/2020,88
378,10/31/2019,4/7/2020,210
139,1/7/2020,5/30/2020,314
266,11/16/2019,9/19/2019,481
265,4/5/2020,8/11/2019,701
255,1/27/2020,8/6/2019,683
336,10/18/2019,5/14/2020,457
103,3/22/2020,4/15/2020,42
150,11/13/2019,2/22/2020,302
375,7/8/2019,9/18/2019,106
36,1/18/2020,2/2/2020,144
279,2/25/2020,5/16/2020,475
91,4/9/2020,6/1/2020,59
77,2/2/2020,5/6/2020,210
150,12/20/2019,2/25/2020,655
223,3/21/2020,4/1/2020,111
77,1/18/2020,7/17/2019,748
274,7/11/2019,8/4/2019,164
342,6/10/2020,7/23/2019,513
94,11/14/2019,7/15/2019,263
16,10/24/2019,2/28/2020,302
399,6/16/2020,9/30/2019,642
387,8/5/2019,9/28/2019,550
93,11/20/2019,6/6/2020,74
143,4/8/2020,7/16/2019,290
64,1/7/2020,2/19/2020,635
308,3/12/2020,5/6/2020,25
129,10/11/2019,11/9/2019,84
223,5/12/2020,9/26/2019,655
341,6/29/2020,8/15/2019,721
137,1/26/2020,3/22/2020,721
169,3/10/2020,6/8/2020,574
354,5/23/2020,6/15/2020,168
348,8/13/2019,8/31/2019,312
287,3/31/2020,9/26/2019,586
93,4/13/2020,4/20/2020,718
92,12/24/2019,6/4/2020,123
374,11/25/2019,4/25/2020,265
353,2/19/2020,7/10/2019,321
202,10/22/2019,3/26/2020,666
189,5/21/2020,5/9/2020,469
28,10/28/2019,4/30/2020,475
323,1/6/2020,5/29/2020,512
394,5/26/2020,8/20/2019,95
56,10/28/2019,7/5/2019,287
317,3/31/2020,9/18/2019,749
299,4/16/2020,9/3/2019,724
243,5/5/2020,8/7/2019,342
59,5/30/2020,9/23/2019,232
241,5/18/2020,6/28/2020,764
293,1/23/2020,8/25/2019,491
10,10/16/2019,8/3/2019,414
167,2/9/2020,3/30/2020,372
203,2/20/2020,2/8/2020,587
221,3/21/2020,5/5/2020,562
31,12/10/2019,4/24/2020,736
196,5/17/2020,9/3/2019,717
356,5/17/2020,8/15/2019,135
337,1/29/2020,10/4/2019,436
178,12/3/2019,12/9/2019,584
48,5/17/2020,8/28/2019,447
40,6/14/2020,6/23/2020,730
151,10/9/2019,12/10/2019,617
200,3/26/2020,6/5/2020,291
276,2/21/2020,9/5/2019,611
392,8/29/2019,9/22/2019,362
22,1/3/2020,11/4/2019,662
232,1/29/2020,11/15/2019,648
314,5/5/2020,9/27/2019,461
55,1/13/2020,8/31/2019,182
323,3/7/2020,4/2/2020,468
215,5/1/2020,8/30/2019,203
202,12/23/2019,2/8/2020,614
233,6/10/2020,6/25/2020,299
187,7/20/2019,9/18/2019,401
18,6/21/2020,9/5/2019,217
276,6/20/2020,9/12/2019,588
366,5/13/2020,7/2/2020,345
294,10/10/2019,2/18/2020,339
203,10/16/2019,9/12/2019,714
86,2/1/2020,4/28/2020,780
176,11/27/2019,4/25/2020,690
230,10/12/2019,3/22/2020,128
384,1/27/2020,4/27/2020,374
331,10/2/2019,12/16/2019,157
112,1/17/2020,1/22/2020,237
179,10/13/2019,2/26/2020,481
112,2/24/2020,6/20/2020,164
160,1/24/2020,9/4/2019,146
72,12/26/2019,8/21/2019,128
252,1/15/2020,3/6/2020,100
326,10/22/2019,9/23/2019,10
92,11/10/2019,6/7/2020,20
320,4/6/2020,8/7/2019,548
289,11/11/2019,7/23/2019,67
142,12/30/2019,7/12/2019,75
332,3/28/2020,5/22/2020,667
