zakaznik,datum_od,datum_do,zakazka
94,10/31/2010,3/13/2020,778
86,7/2/2013,3/23/2020,636
330,5/19/2011,4/14/2020,692
259,8/18/2019,12/4/2019,755
160,8/10/2019,10/20/2019,665
300,1/8/2015,9/15/2019,641
281,7/25/2015,2/23/2020,680
197,5/4/2013,11/30/2019,252
127,2/2/2013,4/15/2020,320
231,8/12/2016,5/28/2020,103
252,6/17/2015,11/27/2019,197
136,7/1/2018,8/11/2019,413
297,5/31/2011,8/7/2019,162
85,10/7/2019,9/12/2019,800
377,4/29/2019,3/30/2020,357
185,7/18/2015,5/4/2020,139
355,8/29/2016,3/27/2020,374
38,11/9/2015,9/5/2019,492
234,11/1/2016,6/17/2020,305
145,1/30/2018,8/19/2019,282
77,8/27/2018,4/28/2020,123
191,8/19/2016,11/7/2019,781
255,2/27/2014,4/20/2020,797
74,11/21/2012,6/19/2020,797
145,2/6/2017,4/17/2020,293
141,12/11/2016,7/3/2020,679
95,11/27/2016,10/27/2019,245
291,3/19/2017,3/29/2020,176
81,6/3/2014,6/6/2020,230
238,11/13/2016,1/23/2020,278
289,12/10/2015,6/21/2020,217
314,5/31/2018,4/8/2020,338
140,9/27/2012,1/1/2020,785
7,5/15/2020,7/27/2019,611
353,7/18/2017,10/13/2019,432
154,12/18/2015,1/20/2020,68
44,3/19/2018,10/25/2019,74
2,4/23/2012,11/23/2019,443
185,12/7/2014,8/10/2019,153
20,4/18/2011,2/10/2020,387
257,4/12/2018,10/28/2019,270
260,8/6/2010,2/20/2020,294
339,1/18/2016,5/30/2020,382
43,11/3/2018,5/15/2020,379
144,7/30/2017,11/10/2019,103
396,7/3/2016,12/31/2019,227
190,6/21/2019,11/5/2019,471
341,11/4/2016,1/5/2020,634
341,12/29/2012,1/23/2020,346
184,1/23/2019,8/1/2019,571
56,9/10/2012,1/17/2020,154
316,7/27/2017,1/20/2020,683
370,2/20/2015,9/20/2019,537
310,4/27/2013,7/28/2019,141
174,5/9/2016,5/10/2020,369
194,6/6/2012,8/15/2019,352
185,9/1/2011,11/17/2019,747
115,12/28/2015,10/28/2019,310
39,12/4/2013,9/2/2019,716
104,11/3/2019,7/15/2019,378
39,2/15/2016,10/13/2019,596
221,3/22/2014,6/2/2020,277
355,1/1/2011,5/29/2020,635
47,6/23/2019,11/14/2019,622
197,5/18/2013,8/27/2019,605
298,4/18/2019,11/27/2019,620
309,6/20/2019,7/10/2019,399
178,12/16/2016,9/14/2019,428
187,1/18/2011,4/11/2020,239
165,1/6/2018,12/17/2019,699
328,1/21/2016,10/19/2019,111
15,4/11/2018,4/4/2020,423
393,5/9/2013,9/12/2019,240
338,8/7/2019,9/13/2019,575
172,10/11/2017,1/12/2020,341
255,3/6/2011,2/20/2020,105
315,8/19/2012,8/5/2019,264
374,1/8/2014,12/23/2019,711
113,2/13/2016,6/19/2020,40
315,8/19/2012,8/5/2019,320
28,12/23/2012,7/31/2019,300
128,4/30/2013,12/14/2019,798
116,1/12/2016,6/29/2020,657
68,4/23/2020,9/13/2019,416
343,10/23/2011,12/10/2019,104
319,8/5/2015,4/15/2020,734
129,9/8/2011,1/19/2020,84
200,8/17/2014,2/27/2020,171
225,1/29/2014,5/30/2020,55
77,2/11/2016,1/30/2020,525
293,3/12/2020,8/25/2019,512
179,8/28/2013,9/15/2019,497
113,10/18/2016,12/22/2019,308
223,3/12/2016,4/6/2020,253
397,5/28/2013,11/22/2019,317
331,1/6/2013,12/27/2019,313
396,4/23/2012,5/14/2020,76
244,11/22/2013,4/15/2020,451
102,6/30/2020,8/26/2019,119
235,11/8/2013,7/7/2019,764
223,1/13/2013,4/24/2020,552
48,9/14/2012,8/8/2019,686
251,3/30/2013,7/20/2019,796
310,8/19/2010,3/14/2020,558
197,6/2/2012,1/1/2020,578
148,4/13/2014,10/19/2019,20
42,5/3/2015,11/18/2019,534
317,2/11/2019,1/16/2020,11
166,10/1/2017,1/13/2020,117
232,11/26/2011,10/12/2019,577
110,2/25/2017,11/30/2019,538
44,11/20/2012,1/19/2020,185
399,7/1/2014,11/5/2019,209
386,1/12/2019,3/3/2020,171
156,6/20/2018,9/8/2019,184
219,10/11/2013,7/4/2020,237
330,4/15/2011,9/11/2019,228
349,10/22/2012,8/1/2019,433
188,11/18/2011,11/29/2019,280
361,10/26/2011,6/9/2020,583
102,8/13/2018,10/19/2019,116
90,4/11/2016,10/15/2019,571
107,6/14/2019,10/12/2019,740
146,4/16/2017,5/13/2020,699
347,1/12/2020,12/8/2019,238
77,7/18/2018,7/9/2019,196
67,12/12/2017,7/21/2019,764
178,11/26/2013,3/10/2020,93
70,10/6/2018,8/17/2019,569
306,6/22/2018,8/7/2019,695
338,9/10/2010,1/20/2020,145
14,9/7/2016,3/29/2020,75
145,1/26/2019,8/24/2019,686
93,5/8/2016,3/17/2020,453
29,1/1/2016,1/7/2020,294
199,1/13/2016,11/17/2019,581
123,2/27/2012,4/17/2020,482
203,4/20/2015,4/4/2020,19
370,8/4/2018,5/26/2020,289
217,12/16/2019,7/8/2019,540
209,12/12/2014,2/18/2020,127
298,2/5/2011,11/26/2019,496
32,10/17/2011,11/16/2019,768
286,2/21/2011,2/11/2020,348
398,12/10/2011,8/9/2019,633
33,10/7/2018,8/7/2019,744
291,12/16/2016,1/7/2020,696
229,11/7/2011,8/9/2019,646
18,7/7/2012,7/22/2019,666
30,3/4/2015,12/5/2019,718
168,1/23/2016,1/3/2020,143
93,7/6/2018,1/31/2020,415
102,2/9/2012,6/8/2020,294
174,4/21/2016,10/19/2019,478
359,12/17/2017,12/1/2019,648
390,9/21/2014,5/27/2020,655
144,10/13/2011,1/29/2020,75
336,7/26/2017,1/9/2020,608
103,7/22/2015,2/21/2020,351
177,6/29/2013,8/11/2019,562
387,3/17/2018,11/24/2019,170
206,6/13/2011,1/4/2020,197
205,4/29/2012,2/9/2020,692
93,8/27/2019,10/30/2019,197
272,4/29/2011,4/18/2020,728
258,2/21/2014,6/1/2020,305
395,5/10/2016,12/5/2019,537
19,8/28/2015,8/16/2019,448
220,1/10/2018,3/15/2020,766
176,5/31/2015,11/10/2019,425
146,5/21/2020,6/15/2020,219
349,4/7/2017,7/19/2019,584
370,5/20/2013,5/22/2020,673
190,9/13/2011,3/24/2020,413
103,4/20/2020,7/30/2019,564
332,5/15/2014,8/13/2019,566
35,10/6/2019,9/11/2019,724
385,10/24/2015,1/28/2020,691
195,6/13/2015,8/20/2019,258
10,1/7/2018,1/28/2020,799
65,5/19/2012,7/5/2019,756
111,10/25/2010,5/14/2020,112
275,8/28/2014,2/29/2020,472
134,12/27/2011,1/14/2020,71
366,5/17/2015,2/6/2020,126
176,2/13/2014,8/13/2019,100
86,4/4/2011,8/22/2019,768
6,9/10/2015,10/22/2019,688
164,6/26/2012,6/2/2020,303
335,2/7/2011,8/28/2019,769
265,9/24/2014,6/28/2020,470
199,12/28/2019,1/21/2020,124
342,2/10/2014,10/28/2019,350
24,10/27/2019,4/4/2020,148
212,4/3/2012,10/18/2019,761
167,5/18/2013,12/13/2019,476
53,11/6/2016,5/7/2020,136
335,12/11/2012,5/18/2020,668
190,8/21/2018,3/15/2020,541
245,8/9/2011,12/1/2019,127
347,9/3/2016,6/7/2020,149
83,12/15/2019,6/6/2020,648
249,1/29/2016,9/12/2019,272
216,7/21/2015,9/26/2019,141
340,11/7/2013,9/13/2019,209
198,7/28/2018,3/17/2020,476
393,8/20/2018,4/29/2020,672
263,12/29/2016,1/11/2020,651
290,11/21/2016,4/14/2020,402
374,4/18/2017,6/15/2020,414
70,8/28/2014,5/5/2020,37
154,5/14/2014,10/4/2019,772
384,9/26/2013,9/14/2019,89
354,8/3/2013,6/19/2020,161
163,8/23/2016,1/1/2020,54
393,10/3/2018,3/17/2020,236
277,12/12/2015,6/15/2020,777
149,1/12/2020,3/26/2020,673
33,2/20/2015,2/20/2020,28
367,5/4/2013,3/25/2020,335
227,8/17/2010,6/22/2020,220
121,2/2/2015,1/8/2020,676
40,5/11/2018,5/17/2020,575
112,11/28/2019,3/27/2020,397
174,6/9/2020,7/4/2020,471
141,8/4/2010,8/29/2019,658
190,9/26/2013,2/21/2020,348
161,6/10/2013,4/21/2020,15
212,4/4/2012,3/30/2020,532
48,9/30/2011,6/28/2020,240
197,1/12/2014,1/30/2020,652
169,3/13/2018,11/2/2019,70
200,6/25/2014,7/2/2020,631
269,1/8/2017,4/27/2020,148
181,2/19/2020,4/10/2020,506
193,6/21/2020,12/26/2019,442
129,9/25/2010,9/29/2019,746
66,1/26/2015,1/16/2020,287
276,10/8/2011,4/26/2020,175
216,1/19/2017,5/30/2020,725
294,11/11/2011,7/6/2019,729
156,6/19/2018,5/3/2020,673
37,11/24/2012,6/29/2020,80
327,3/24/2017,2/22/2020,619
194,8/4/2012,10/15/2019,3
398,8/21/2017,3/25/2020,50
295,7/7/2012,4/18/2020,750
128,7/19/2015,10/21/2019,598
57,9/3/2019,10/30/2019,706
8,3/6/2013,4/16/2020,184
352,5/3/2014,12/26/2019,619
220,1/18/2019,10/29/2019,133
40,12/14/2015,7/15/2019,746
236,3/27/2013,4/27/2020,729
49,4/3/2012,10/29/2019,720
223,4/30/2013,11/4/2019,158
125,9/29/2010,10/30/2019,260
33,10/11/2014,1/18/2020,20
78,7/17/2017,1/8/2020,257
352,8/15/2019,7/12/2019,570
336,9/29/2017,12/31/2019,782
308,7/24/2015,6/12/2020,115
106,6/8/2014,7/3/2020,59
75,6/2/2020,6/26/2020,582
339,11/2/2010,6/26/2020,249
324,3/10/2012,5/5/2020,671
249,7/5/2014,12/4/2019,374
140,11/29/2019,3/1/2020,181
376,8/11/2018,6/30/2020,625
64,9/12/2015,2/27/2020,171
45,7/1/2016,12/4/2019,360
269,9/16/2017,10/3/2019,758
295,12/17/2013,9/16/2019,714
126,12/30/2018,7/9/2019,397
310,10/7/2012,6/16/2020,696
161,6/12/2020,4/16/2020,799
47,1/13/2015,8/9/2019,67
307,1/12/2011,11/16/2019,337
266,1/17/2016,3/5/2020,488
323,4/30/2019,2/16/2020,217
36,5/14/2019,6/21/2020,468
173,9/7/2011,3/27/2020,414
185,4/19/2014,11/16/2019,130
105,8/11/2017,3/15/2020,272
130,1/7/2012,12/13/2019,165
68,6/23/2011,5/31/2020,29
322,12/12/2019,11/17/2019,121
377,4/21/2012,5/17/2020,380
336,5/18/2020,7/28/2019,185
158,11/14/2011,4/11/2020,258
95,5/19/2015,7/5/2019,732
375,3/9/2017,9/6/2019,188
74,9/3/2017,10/20/2019,589
145,10/22/2015,4/4/2020,582
231,8/1/2018,7/25/2019,365
355,1/14/2020,7/29/2019,160
65,6/27/2012,12/7/2019,325
288,4/10/2014,3/18/2020,324
162,5/29/2013,1/17/2020,589
182,8/2/2010,1/14/2020,670
134,4/5/2013,9/23/2019,609
46,1/20/2013,7/27/2019,616
346,3/28/2019,5/2/2020,723
73,12/5/2014,8/16/2019,533
293,9/6/2014,10/10/2019,227
380,8/11/2013,6/24/2020,712
47,5/14/2019,9/24/2019,360
78,1/14/2015,6/25/2020,300
146,9/3/2014,2/19/2020,271
51,11/17/2015,8/8/2019,313
200,8/6/2014,9/20/2019,627
343,11/7/2014,2/9/2020,533
72,7/1/2019,6/22/2020,597
87,10/10/2012,9/29/2019,780
115,9/17/2010,7/9/2019,678
192,7/6/2010,10/24/2019,372
40,10/3/2016,5/28/2020,707
394,7/26/2019,6/8/2020,293
148,10/26/2013,3/6/2020,799
353,8/5/2018,2/8/2020,788
367,3/21/2015,12/18/2019,186
40,7/13/2017,12/30/2019,114
326,2/11/2020,6/8/2020,194
326,1/6/2018,7/10/2019,207
111,12/9/2011,12/3/2019,31
39,6/19/2013,8/16/2019,780
268,6/14/2012,10/26/2019,32
245,10/26/2019,4/21/2020,428
396,2/26/2020,6/16/2020,136
97,2/8/2018,3/17/2020,624
239,5/7/2018,10/13/2019,769
367,4/18/2012,6/12/2020,791
72,4/6/2019,2/19/2020,538
297,6/12/2017,4/30/2020,341
237,2/26/2015,12/8/2019,291
39,2/20/2018,5/23/2020,191
305,11/18/2016,3/2/2020,788
135,3/24/2017,8/25/2019,743
192,3/31/2014,1/20/2020,29
248,3/20/2015,9/6/2019,726
70,12/3/2016,1/19/2020,719
264,3/6/2017,9/25/2019,668
369,7/14/2014,12/4/2019,279
11,12/27/2010,9/23/2019,215
174,1/2/2015,10/28/2019,425
160,3/27/2015,3/13/2020,210
156,3/21/2020,12/11/2019,138
323,6/23/2018,11/23/2019,621
277,6/20/2020,7/23/2019,722
178,6/21/2017,10/6/2019,153
16,1/20/2013,4/18/2020,597
344,2/11/2015,2/4/2020,17
325,10/2/2018,2/10/2020,440
286,11/20/2014,12/15/2019,441
180,3/10/2017,5/19/2020,316
292,12/16/2017,11/1/2019,593
78,11/12/2019,3/25/2020,582
272,6/22/2014,4/12/2020,192
267,4/10/2014,10/6/2019,330
45,7/26/2012,12/15/2019,274
257,9/12/2010,10/23/2019,637
31,7/1/2017,5/8/2020,485
3,9/2/2015,5/5/2020,443
264,3/2/2020,11/8/2019,563
164,9/23/2010,4/3/2020,120
384,1/29/2014,9/4/2019,286
234,10/2/2012,1/7/2020,371
363,12/31/2018,7/16/2019,438
181,9/25/2016,2/20/2020,93
235,9/30/2012,6/22/2020,514
353,10/31/2016,11/10/2019,58
333,7/18/2013,9/14/2019,121
162,1/8/2019,12/15/2019,97
96,9/3/2018,8/3/2019,537
316,6/18/2014,6/14/2020,386
206,10/29/2017,3/16/2020,205
85,12/1/2012,7/29/2019,370
375,10/20/2016,5/1/2020,11
85,7/2/2014,12/11/2019,202
381,8/20/2014,1/1/2020,637
136,11/13/2016,4/16/2020,201
290,1/15/2019,6/10/2020,345
191,10/11/2013,4/2/2020,625
360,7/12/2015,2/28/2020,440
41,6/26/2016,11/26/2019,391
199,7/5/2018,1/21/2020,266
188,2/20/2020,5/23/2020,193
30,7/20/2011,11/1/2019,438
174,9/11/2019,6/5/2020,120
132,4/30/2019,11/4/2019,770
221,8/6/2016,7/28/2019,684
54,9/24/2013,9/29/2019,631
292,10/28/2015,2/23/2020,620
358,4/9/2015,3/6/2020,156
167,9/9/2015,5/27/2020,628
23,8/9/2019,1/15/2020,12
196,11/9/2014,3/20/2020,174
63,12/5/2019,11/18/2019,355
56,3/27/2012,9/4/2019,679
72,12/27/2012,11/29/2019,516
41,6/25/2017,10/3/2019,54
197,12/30/2016,9/4/2019,12
168,1/5/2016,1/27/2020,201
100,6/25/2013,5/25/2020,653
285,1/21/2019,8/5/2019,362
380,6/19/2015,11/11/2019,100
327,5/12/2014,10/21/2019,9
